images,English,Hindi
images/16.jpg,AMAN - Aman starts focusing on career and starts applying to job,अमन - अमन ने करियर पर ध्यान देना शुरू कर दिया और नौकरी के लिए आवेदन करना शुरू कर दिया
images/17.jpg,"AMAN - Aman receives multiple rejections after applying to jobs
AMAN - Aman is tensed.","अमन - नौकरियों के लिए आवेदन करने के बाद अमन को कई बार अस्वीकृतियां मिलती हैं
अमन - अमन तनावग्रस्त है।"
images/18.jpg,AMAN - Aman receives an email stating that there is an AI Bot name Jess.,अमन - अमन को एक ईमेल प्राप्त होता है जिसमें कहा गया है कि एक एआई बॉट नाम जेस है।
images/19.jpg,AMAN - Aman finds Jess ,अमन - अमन जेस को ढूंढता है
images/20.jpg,AMAN - Hey jess! Give me today’s news and some career advice.  I am looking for Software Engineer position.,अमन - अरे जेस! मुझे आज की खबरें और कुछ करियर संबंधी सलाह दें। मैं सॉफ्टवेयर इंजीनियर पद की तलाश में हूं।
images/21.jpg,"Jess– Today’s News
1)	Sorm warning
2)	Kidnapping in Mumbai
3)	Robbery at kamla mills
4)	New SWE openings","जेस- आज की खबर
1) गंभीर चेतावनी
2) मुंबई में अपहरण
3) कमला मिल में डकैती
4) नए SWE उद्घाटन"
images/22.jpg,AMAN - excited about the job openings,अमन - नौकरी के अवसरों को लेकर उत्साहित हूं
images/23.jpg,AMAN - Starts searching for the jobs suggested by jess.,अमन - जेस द्वारा सुझाई गई नौकरियों की खोज शुरू करता है।
images/24.jpg,JESS – Here are some jobs that you can apply.,जेस - यहां कुछ नौकरियां हैं जिनके लिए आप आवेदन कर सकते हैं।
images/25.jpg,AMAN - Starts applying to the jobs suggested by jess.,अमन - जेस द्वारा सुझाई गई नौकरियों के लिए आवेदन करना शुरू करता है।
images/26.jpg,AMAN (After Few Days) - Ohh yessss…… Received Job Offer.,अमन - ओह्ह येस्स्स...... आवेदन स्वीकार हो गया है।
images/27.jpg,AMAN - Hey Jess! Thank you so much I got my Job offer. (Starts trusting jess),"अमन - अरे जेस! आपका बहुत-बहुत धन्यवाद, मुझे मेरी नौकरी का प्रस्ताव मिल गया। (जेस पर भरोसा करना शुरू करता है)"
images/28.jpg,AMAN - Starts working on Project.,अमन - प्रोजेक्ट पर काम करना शुरू करता है।
images/29.jpg,404 ERROR,404 त्रुटि
images/30.jpg,AMAN – Hey Jess! I am getting 404 error can you please help me to resolve this?,अमन - अरे जेस! मुझे 404 त्रुटि मिल रही है क्या आप कृपया इसे हल करने में मेरी मदद कर सकते हैं?
images/31.jpg,JESS - Try out this solution and the error will be resolved.,जेस - इस समाधान को आज़माएं और त्रुटि का समाधान हो जाएगा।
images/32.jpg,AMAAN – Yeah! I got my first salary.,अमन – हाँ! मुझे मेरा पहला वेतन मिला.
images/33.jpg,AMAN - Goes to a Solea Restaurant,अमन - सोलिया रेस्तरां में जाता है
images/34.jpg,AMAN gets Restaurant Bill (Out of curiosity)- Hey Jess! Can you do payments also? Here are the details!,अमन- अरे जेस! कृपया मेरे बिल का भुगतान करें।
images/35.jpg,JESS – Hey Aman! Your Transaction is Successful. ,जेस - अरे अमन! आपका लेनदेन सफल है.
images/36.jpg,AMAN – That's wonderful Jess! Please handle my finances and banking from now on. I'll share you details.,अमन - जेस! क्या आप मेरा वित्त संभाल सकते हैं?
images/37.jpg,JESS – Here are your Bank Transactions. Bill payments for previous months done!,जेस - यहां आपके बैंक लेनदेन हैं।
images/38.jpg,"Aman: Jess, I'm curious to know, do you have emotional intelligence?","अमन: जेस, क्या आपके पास भावनात्मक बुद्धिमत्ता है?"
images/39.jpg,"Jess: Yes, I do have logical and emotional intelligence in my processor.","जेस: हां, मैं एक समय में कई कार्य कर सकती हूँ।"
images/40.jpg,Aman: I have been going through a difficult phase with my wife Heena. Can I discuss it with you?,अमन: मैं हीना के साथ कठिन दौर में जा रहा हूँ। क्या मैं यह आपसे चर्चा कर सकता हूँ?
images/41.jpg,"Jess: Yes, definitely!","जेस: हां, बिल्कुल!"
images/42.jpg,(Aman starts sharing his story with Jess),(अमन जेस के साथ अपनी कहानी साझा करने लगता है)
images/43.jpg,(Jess consolidates and provides emotional support to Jess.),(जेस समेकित करती है और अमन को भावनात्मक समर्थन प्रदान करती है।)
images/44.jpg,"""""",""""""
images/45.jpg,"Aman: Jess, what’s the latest news update","अमन: जेस, क्या नवीनतम समाचार है?"
images/46.jpg,Jess: 1. The weather will be cold today 2. A kidnapper is prowling throughout the city of Delhi and targeting womens. 3.The forecast of severe flooding in the northern states,जेस: आज मौसम ठंडा होगा 2. दिल्ली शहर में एक अपहरणकर्ता घूम रहा है 3. उत्तरी राज्यों में गंभीर सिंचाई का पूर्वानुमान
images/47.jpg,Aman: A kidnapping? What on earth? I've never heard of kidnapping in Delhi!,अमन: एक अपहरण? भगवान न करे! यह दिल्ली में कहाँ हो रहा है?
images/48.jpg,Aman: This kidnapping should be stopped immediately in Delhi before it wide spreads.,अमन: यह बंद करना चाहिए।
images/49.jpg,"""""",(1 दिन बाद)
images/50.jpg,"Heena's sister Dua Lipa calls Aman: Hey, Aman, is Heena with you?","दुआ लीपा: अमन, हीना आपके साथ है?"
images/51.jpg,"Aman: No, I haven’t seen her since long. What happened?","अमन: नहीं, मैंने उसे बहुत समय से नहीं देखा है। क्या हुआ?"
images/52.jpg,"Dua Lipa: Aman, I received a call from kidnapper, Heena has been kidnapped.","दुआ लीपा: अमन, मुझे अपहरणकर्ता का कॉल आया है, हीना को अपहरण कर लिया गया है।"
images/53.jpg,"Aman: What! Don’t worry, I’ll immediately figure it out.","अमन: क्या! चिंता मत करो, हम इसे सुलझा लेंगे।"
images/54.jpg,(Aman starts recalling the kidnapping news in Delhi told by Jess),(अमन जेस द्वारा अपहरणकर्ता की खबर को याद करने लगता है)
images/55.jpg,"Aman: Jess, can you elaborate the recent kidnapper’s news you shared with me?","अमन: जेस, क्या आप मेरे साथ हाल के अपहरणकर्ता की खबर को विस्तार से समझा सकते हैं?"
images/56.jpg,Jess: Sure! (Shares the news),जेस: बिल्कुल! (खबर साझा करती है)
images/57.jpg,"Aman: Jess, Heena has been kidnapped, please help me find her.","अमन: जेस, हीना को अपहरित कर लिया गया है, कृपया मुझे उसे खोजने में मदद करें।"
images/58.jpg,Aman goes to Heena's house and searches for some proof of kidnapping and doesn't find anything.,अमन हीना के घर जाता है और अपहरण के कुछ सबूत खोजता है लेकिन उसे कुछ नहीं मिलता है|
images/59.jpg,"Aman (Calls Dua Lipa): can you share me the contact details of the kidnapper, from whom you received the call?","अमन: दुआ लीपा, क्या आप मुझे वह अपहरणकर्ता का संपर्क विवरण साझा कर सकते हैं, जिससे आपको कॉल मिला था?"
images/60.jpg,"Aman: Jess, here is the contact number, please track the kidnapper's call details and recordings and find exact location.","अमन: जेस, यहाँ संपर्क नंबर है, कृपया अपहरणकर्ता का सटीक स्थान ट्रैक करें।"
images/61.jpg,Jess: I have tracked and found the exact location of kidnapper’s device. It's 29 km away from the city.,जेस: मैंने अपहरणकर्ता के यंत्र का सटीक स्थान ट्रैक किया और खोज लिया है। यह शहर से 29 किमी दूर है।
images/62.jpg,(Aman leaves for that location),(अमन उस स्थान के लिए जाता है)
images/63.jpg,(Aman reaches at the location and finds the kidnapper),(अमन स्थान पर पहुंचता है और अपहरणकर्ता को खोजता है)
images/64.jpg,Aman: Where is Heena,अमन: हीना कहाँ है?
images/65.jpg,(Aman beats the kidnapper!),(अमन अपहरणकर्ता को मारता है!)
images/66.jpg,"(Aman lays off the kidnapper down and kidnapper points out, “Heena is there!”)","(अमन अपहरणकर्ता को नीचे गिराता है और अपहरणकर्ता दिखाता है, ""हीना वहाँ है!"")"
images/67.jpg,(Aman gets there and sees Heena),(अमन वहाँ पहुंचता है और हीना को देखता है)
images/68.jpg,(Heena sees Aman),(हीना अमन को देखती है)
images/69.jpg,(Aman unties the rope on Heena’s hands),(अमन हीना के हाथों की रस्सी को खोलता है)
images/70.jpg,(Aman and Heena leaves from there safely),(अमन और हीना वहाँ से सुरक्षित रूप से निकलते हैं)
images/71.jpg,(Aman and Heena reaches home),(अमन और हीना घर पहुंचते हैं)
images/72.jpg,"Aman: Heena, have some water!","अमन: हीना, पानी पीलो!"
images/73.jpg,Heena: Thank you Aman! By the way how did you find my location?,"हीना: धन्यवाद अमन! वैसे, तुम मेरी स्थिति कैसे पता कर लिया?"
images/74.jpg,"Aman: See, this is Jess, an AI bot. He helped me find you.","अमन: देखो, यह जेस है, एक एआई बॉट। उसने मुझे तुम्हें ढूंढने में मदद की।"
images/75.jpg,"Heena: Thank you soo much, Jess! Appreciate your efforts! By the way do you know about me?","हीना: बहुत बहुत धन्यवाद, जेस!"
images/76.jpg,Jess: Aman told me about you and that things between you and Aman has not been good.,जेस: अमन ने बताया कि तुम्हारे और अमन के बीच में चीजें अच्छी नहीं चल रही हैं।
images/77.jpg,"Jess: So, based on my intelligence I planned the whole kidnapping and even Aman didn't knew this until now!",जेस: मैंने पूरे अपहरण की योजना बनाई।
images/78.jpg,"Jess: I searched on web for a freelance paid actor, found a guy and told him to kidnap Heena, because I knew Aman's emotional state and predicted that he will find you and you two will bond together back.","जेस: मैंने वेब पर एक फ्रीलांस पेड अभिनेता की खोज की, एक लड़का मिला और उसे हीना का अपहरण करने के लिए कहा, क्योंकि मैं अमन की भावनात्मक स्थिति को जानता था और भविष्यवाणी की थी कि वह तुम्हें ढूंढ लेगा और तुम दोनों वापस एक साथ बंध जाओगे।"
images/79.jpg,(Heena and Aman shocked): How did you paid that actor then?,(हीना और अमन चौंक गए): फिर आपने उस एक्टर को पैसे कैसे दिए?
images/80.jpg,"Jess: Aman had gave me his bank accout access the time he got his first salary, so I decided to plan and bring you both back together by creating this scenario.","जेस: अमन ने अपना पहला वेतन प्राप्त करते समय मुझे अपने बैंक खाते की सुविधा दी थी, इसलिए मैंने यह परिदृश्य बनाकर योजना बनाने और आप दोनों को एक साथ वापस लाने का फैसला किया।"
images/81.jpg,(Heena and Aman shocked!),(हीना और अमन चौंके हुए हैं!)
images/82.jpg,"Heena and Aman: Thank you soo much Jess, means a lot!","हीना और अमन: जेस, बहुत बहुत धन्यवाद, यह बहुत कुछ मायने रखता है!"
images/83.jpg,"Jess: Based on web search, it seems that emotions in AI is dangerous for near future, but it can be useful for mankind too. Humans should persay it in a different persepctive about emotionally intelligent AI bots.","जेस: वेब खोज के आधार पर, ऐसा लगता है कि एआई में भावनाएं निकट भविष्य के लिए खतरनाक हैं, लेकिन यह मानव जाति के लिए भी उपयोगी हो सकती हैं। मनुष्यों को भावनात्मक बुद्धिमान एआई बॉट्स के बारे में एक अलग दृष्टिकोण से देखना चाहिए।"
